,Current_Ratio,Quick_Ratio,Working_Capital,Debt_to_Equity,Debt_to_Assets,Equity_Multiplier,Asset_Turnover,Inventory_Turnover,Net_Profit_Margin,ROA,ROE,Gross_Margin,Operating_Margin,Operating_CF_Margin,Free_Cash_Flow,Free_CF_Margin,Working_Capital_to_Assets,Retained_Earnings_to_Assets,EBIT_to_Assets,Sales_to_Assets,Z_Score,Risk_Level
2022,0.82057095,0.20693508,-16543.0,0.76829696,0.24228506,3.1710455,2.5135548,10.804741,0.019107165,0.04802691,0.15229551,,,0.04718063,12154.0,0.019882577,-0.06802304,0.3418422,0.08399775,2.5135548,3.4876988,Safe
2021,0.9277973,0.28106296,-6309.0,0.68853974,0.2341052,2.9411552,2.339108,10.135265,0.023872377,0.05584007,0.16423433,,,0.042218823,11469.0,0.020024303,-0.025765743,0.35491303,0.10594626,2.339108,3.45469,Safe
2020,0.97217333,0.48699877,-2578.0,0.7815385,0.25048319,3.1201236,2.2144945,12.439676,0.024161631,0.053505797,0.1669447,,,0.064515665,26025.0,0.046543777,-0.010210062,0.3515422,0.089300424,2.2144945,3.2890928,Safe
2019,0.7945237,0.22330634,-15984.0,0.9700545,0.3062771,3.1672447,2.2155395,11.791696,0.028400807,0.0629231,0.19929288,,,0.048199877,14871.0,0.02838172,-0.067587055,0.3549462,0.08697013,2.2155395,3.2183611,Safe
2018,0.79890805,0.22752559,-15580.0,0.8004993,0.2646344,3.0249255,2.3457215,11.619983,0.012966437,0.03041565,0.092005074,,,0.053951655,17928.0,0.034851916,-0.07104585,0.36838505,0.1001254,2.3457215,3.4066193,Safe
